"bldg_id","in.sqft","in.bedrooms","in.city","in.clothes_dryer","in.clothes_washer","in.cooking_range","in.county","in.dishwasher","in.water_heater_fuel","in.refrigerator","in.vacancy_status","in.income","in.occupants","in.heating_fuel","in.heating_setpoint","in.cooling_setpoint","in.hvac_cooling_efficiency","in.hvac_heating_efficiency"
393765,1690,4,"SC, Sumter","Electric, 120% Usage","Standard, 120% Usage","Electric, 120% Usage","G4500850","None","Electricity","EF 15.9, 100% Usage","Occupied","35000-39999","7","Electricity","70F","70F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
394795,1690,3,"Not in a census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500910","290 Rated kWh, 100% Usage","Propane","EF 19.9, 100% Usage","Occupied","80000-99999","1","Propane","75F","75F","AC, SEER 15","Fuel Furnace, 92.5% AFUE"
395706,1690,3,"In another census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500850","318 Rated kWh, 120% Usage","Electricity","EF 17.6, 100% Usage","Occupied","60000-69999","2","Electricity","70F","70F","Room AC, EER 9.8","Electric Baseboard, 100% Efficiency"
395838,1690,4,"In another census Place","Electric, 100% Usage","Standard, 100% Usage","Electric, 100% Usage","G4500850","None","Natural Gas","EF 17.6, 100% Usage","Occupied","80000-99999","4","Natural Gas","65F","72F","Room AC, EER 10.7","Fuel Wall/Floor Furnace, 68% AFUE"
396184,2176,3,"Not in a census Place","Electric, 100% Usage","Standard, 100% Usage","Electric, 100% Usage","G4500730","None","Electricity","EF 17.6, 100% Usage","Occupied","80000-99999","2","Electricity","70F","75F","Heat Pump","ASHP, SEER 15, 8.5 HSPF"
396283,1220,3,"Not in a census Place","Electric, 80% Usage","EnergyStar, 80% Usage","Electric, 80% Usage","G4500910","None","Electricity","EF 17.6, 100% Usage","Occupied","20000-24999","1","Natural Gas","75F","76F","Room AC, EER 10.7","Fuel Boiler, 80% AFUE"
396637,1220,3,"Not in a census Place","Electric, 100% Usage","Standard, 100% Usage","Electric, 100% Usage","G4500730","290 Rated kWh, 100% Usage","Electricity","EF 17.6, 100% Usage","Occupied","45000-49999","2","Electricity","68F","72F","AC, SEER 13","Electric Furnace, 100% AFUE"
398166,2663,5,"Not in a census Place","Electric, 80% Usage","Standard, 80% Usage","Electric, 80% Usage","G4500910","290 Rated kWh, 80% Usage","Electricity","EF 17.6, 100% Usage","Occupied","70000-79999","3","Natural Gas","68F","76F","AC, SEER 15","Fuel Furnace, 76% AFUE"
398229,3301,3,"Not in a census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500730","318 Rated kWh, 120% Usage","Electricity","EF 17.6, 100% Usage","Occupied","25000-29999","1","Electricity","68F","60F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
401055,1690,3,"In another census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage","G4500910","None","Natural Gas","EF 17.6, 100% Usage","Occupied","200000+","2","Natural Gas","75F","68F","Room AC, EER 10.7","Fuel Boiler, 80% AFUE"
401117,2176,3,"Not in a census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Gas, 120% Usage","G4500910","318 Rated kWh, 120% Usage","Electricity","None","Occupied","200000+","3","Electricity","75F","75F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
401983,1220,3,"SC, Rock Hill","Electric, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage","G4500910","None","Natural Gas","EF 17.6, 100% Usage","Occupied","50000-59999","2","Natural Gas","72F","75F","Room AC, EER 10.7","Fuel Boiler, 76% AFUE"
404543,2176,4,"In another census Place","Electric, 80% Usage","Standard, 80% Usage","Gas, 80% Usage","G4500910","318 Rated kWh, 80% Usage","Natural Gas","EF 17.6, 100% Usage","Occupied","200000+","1","Natural Gas","65F","72F","AC, SEER 13","Fuel Furnace, 76% AFUE"
408594,1220,3,"In another census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500850","290 Rated kWh, 100% Usage","Electricity","EF 6.7, 100% Usage","Vacant","200000+","5","Electricity","55F","78F","AC, SEER 15","Electric Furnace, 100% AFUE"
408943,1220,2,"In another census Place","Electric, 100% Usage","Standard, 100% Usage","Gas, 100% Usage","G4500730","None","Natural Gas","EF 15.9, 100% Usage","Occupied","80000-99999","4","Natural Gas","72F","70F","AC, SEER 13","Fuel Furnace, 80% AFUE"
409310,2663,5,"In another census Place","Electric, 80% Usage","EnergyStar, 80% Usage","Propane, 80% Usage","G4500850","290 Rated kWh, 80% Usage","Electricity","EF 15.9, 100% Usage","Occupied","60000-69999","4","Electricity","68F","78F","Heat Pump","ASHP, SEER 15, 8.5 HSPF"
